ID;SABOR;VALOR;ESTADO;TIPO;DATA;FORMA DE PAGAMENTO
78;calabresa;9;Minas Gerais;frita;03/03/2021;CRÉDITO
79;carne;12;São Paulo;frita;09/06/2018;CRÉDITO
80;calabresa;9;Minas Gerais;frita;18/09/2020;PIX
81;frango;11;Minas Gerais;frita;04/11/2019;PIX
82;frango;11;Santa Catarina;frita;11/02/2019;DÉBITO
83;carne;12;São Paulo;assada;04/09/2021;DINHEIRO
84;pizza;10;Santa Catarina;frita;01/01/2020;PIX
85;frango;11;Minas Gerais;frita;09/11/2019;DÉBITO
86;carne;12;São Paulo;assada;07/08/2021;CRÉDITO
87;calabresa;9;São Paulo;assada;19/04/2018;DÉBITO
88;frango;11;São Paulo;assada;06/10/2018;PIX
89;pizza;10;Santa Catarina;assada;12/06/2021;DINHEIRO
90;calabresa;9;São Paulo;frita;01/08/2020;CRÉDITO
91;carne;12;Minas Gerais;frita;17/09/2018;DINHEIRO
92;pizza;10;Minas Gerais;frita;07/05/2021;DINHEIRO
93;calabresa;9;Santa Catarina;frita;24/08/2019;PIX
94;pizza;10;Minas Gerais;assada;26/09/2021;CRÉDITO
95;carne;12;Minas Gerais;assada;06/08/2020;CRÉDITO
96;frango;11;Rio de Janeiro;frita;21/01/2018;CRÉDITO
97;calabresa;9;Rio de Janeiro;assada;30/06/2020;CRÉDITO
98;calabresa;9;São Paulo;assada;26/01/2021;DÉBITO
99;pizza;10;Minas Gerais;assada;23/07/2018;DINHEIRO
100;carne;12;Santa Catarina;frita;12/11/2020;PIX
101;calabresa;9;Santa Catarina;frita;20/04/2021;DÉBITO
102;frango;11;São Paulo;frita;30/06/2020;CRÉDITO
103;calabresa;9;Rio de Janeiro;frita;24/12/2019;DÉBITO
104;frango;11;São Paulo;assada;20/05/2020;DINHEIRO
105;frango;11;Minas Gerais;assada;04/09/2020;DÉBITO
106;calabresa;9;Minas Gerais;frita;09/07/2020;DÉBITO
107;calabresa;9;Santa Catarina;frita;26/02/2020;DINHEIRO
108;carne;12;Rio de Janeiro;assada;24/03/2021;DINHEIRO
109;pizza;10;Minas Gerais;assada;05/02/2019;DÉBITO
110;pizza;10;Rio de Janeiro;assada;16/07/2021;DINHEIRO
111;calabresa;9;Minas Gerais;frita;20/08/2018;PIX
112;carne;12;Rio de Janeiro;frita;13/11/2021;DINHEIRO
113;frango;11;Minas Gerais;assada;26/06/2018;DINHEIRO
114;frango;11;Minas Gerais;assada;02/12/2020;CRÉDITO
115;frango;11;Santa Catarina;frita;19/05/2019;DINHEIRO
116;pizza;10;Santa Catarina;frita;03/06/2021;CRÉDITO
117;calabresa;9;Minas Gerais;assada;19/10/2018;DINHEIRO
118;calabresa;9;Rio de Janeiro;frita;19/06/2020;PIX
119;pizza;10;Minas Gerais;frita;10/05/2019;CRÉDITO
120;frango;11;Rio de Janeiro;assada;28/08/2020;DÉBITO
121;carne;12;São Paulo;assada;22/06/2021;DINHEIRO
122;frango;11;Rio de Janeiro;frita;16/03/2020;CRÉDITO
123;frango;11;Rio de Janeiro;frita;05/10/2018;PIX
124;pizza;10;Minas Gerais;frita;24/08/2020;DÉBITO
125;carne;12;Santa Catarina;assada;10/06/2019;DINHEIRO
126;pizza;10;Minas Gerais;assada;05/01/2019;DINHEIRO
127;frango;11;São Paulo;frita;14/05/2019;DÉBITO
128;carne;12;São Paulo;assada;20/07/2021;CRÉDITO
129;calabresa;9;Santa Catarina;frita;13/04/2018;PIX
130;carne;12;Rio de Janeiro;assada;15/04/2019;PIX
131;carne;12;Santa Catarina;frita;09/11/2021;DINHEIRO
132;pizza;10;Rio de Janeiro;assada;04/11/2019;CRÉDITO
133;calabresa;9;Santa Catarina;frita;31/10/2021;DÉBITO
134;frango;11;Santa Catarina;frita;30/12/2019;PIX
135;calabresa;9;São Paulo;assada;19/02/2021;DÉBITO
136;frango;11;Rio de Janeiro;assada;10/06/2018;PIX
137;carne;12;Santa Catarina;frita;10/10/2019;PIX
138;pizza;10;Minas Gerais;assada;19/03/2018;CRÉDITO
139;carne;12;Minas Gerais;frita;01/03/2019;CRÉDITO
140;carne;12;Minas Gerais;frita;05/08/2020;DÉBITO
141;frango;11;São Paulo;frita;15/12/2018;DÉBITO
142;pizza;10;São Paulo;frita;19/01/2018;DÉBITO
143;calabresa;9;Minas Gerais;frita;20/05/2021;CRÉDITO
144;calabresa;9;Santa Catarina;frita;19/12/2021;PIX
145;calabresa;9;Minas Gerais;frita;10/08/2018;CRÉDITO
146;calabresa;9;Minas Gerais;frita;22/10/2019;PIX
147;carne;12;Santa Catarina;frita;14/02/2020;DÉBITO
148;frango;11;Rio de Janeiro;assada;30/06/2020;DINHEIRO
149;pizza;10;Minas Gerais;assada;07/07/2021;PIX
150;pizza;10;Rio de Janeiro;assada;13/09/2020;PIX
151;frango;11;São Paulo;frita;06/05/2018;DÉBITO
152;frango;11;Santa Catarina;frita;12/06/2019;DINHEIRO
153;frango;11;São Paulo;assada;30/04/2019;PIX
154;carne;12;Minas Gerais;assada;12/01/2020;DÉBITO
155;pizza;10;Minas Gerais;assada;18/05/2018;CRÉDITO
156;carne;12;São Paulo;frita;07/12/2019;DÉBITO
157;calabresa;9;Santa Catarina;frita;29/10/2020;CRÉDITO
158;carne;12;Rio de Janeiro;frita;20/09/2021;DÉBITO
159;pizza;10;Rio de Janeiro;frita;10/09/2018;DÉBITO
160;frango;11;Minas Gerais;assada;04/06/2018;CRÉDITO
161;pizza;10;Minas Gerais;assada;12/03/2018;PIX
162;carne;12;São Paulo;assada;24/06/2019;CRÉDITO
163;carne;12;São Paulo;assada;17/01/2020;CRÉDITO
164;frango;11;Minas Gerais;assada;12/08/2020;DÉBITO
165;pizza;10;Minas Gerais;assada;26/08/2019;DINHEIRO
166;carne;12;São Paulo;assada;07/08/2019;CRÉDITO
167;calabresa;9;São Paulo;assada;16/10/2019;CRÉDITO
168;calabresa;9;Santa Catarina;assada;17/12/2020;DÉBITO
169;pizza;10;São Paulo;assada;04/10/2018;DINHEIRO
170;carne;12;Minas Gerais;assada;29/04/2018;DINHEIRO
171;pizza;10;Minas Gerais;assada;01/11/2018;PIX
172;frango;11;Rio de Janeiro;assada;08/04/2018;PIX
173;pizza;10;Santa Catarina;assada;12/12/2020;CRÉDITO
174;calabresa;9;São Paulo;frita;26/05/2018;PIX
175;carne;12;Minas Gerais;frita;05/11/2019;DINHEIRO
176;pizza;10;São Paulo;assada;28/03/2021;DÉBITO
177;calabresa;9;Rio de Janeiro;assada;11/01/2020;DINHEIRO
178;carne;12;Minas Gerais;frita;18/04/2021;PIX
179;frango;11;Rio de Janeiro;assada;20/09/2019;PIX
180;frango;11;Rio de Janeiro;frita;12/08/2018;PIX
181;carne;12;Rio de Janeiro;frita;23/12/2020;CRÉDITO
182;frango;11;Rio de Janeiro;frita;03/06/2021;DINHEIRO
183;pizza;10;Rio de Janeiro;frita;24/05/2020;DÉBITO
184;carne;12;Minas Gerais;assada;24/09/2018;CRÉDITO
185;pizza;10;Santa Catarina;frita;14/07/2018;DINHEIRO
186;calabresa;9;Rio de Janeiro;assada;21/03/2019;CRÉDITO
187;carne;12;Minas Gerais;frita;31/07/2019;DÉBITO
188;pizza;10;Minas Gerais;assada;15/04/2021;PIX
189;carne;12;Rio de Janeiro;assada;30/11/2021;PIX
190;frango;11;Santa Catarina;frita;23/01/2019;DÉBITO
191;frango;11;Rio de Janeiro;assada;09/12/2018;DINHEIRO
192;frango;11;São Paulo;frita;23/05/2018;DINHEIRO
193;frango;11;Rio de Janeiro;frita;27/03/2020;PIX
194;frango;11;Minas Gerais;assada;08/12/2019;DINHEIRO
195;pizza;10;Minas Gerais;assada;19/07/2021;CRÉDITO
196;carne;12;Minas Gerais;frita;30/01/2021;DÉBITO
197;frango;11;Santa Catarina;assada;03/11/2019;PIX
198;pizza;10;Rio de Janeiro;frita;19/10/2021;DINHEIRO
199;pizza;10;Rio de Janeiro;frita;02/02/2019;DÉBITO
200;frango;11;Santa Catarina;assada;18/12/2021;DÉBITO
201;carne;12;Rio de Janeiro;frita;17/08/2020;DÉBITO
202;carne;12;Rio de Janeiro;assada;30/04/2020;DÉBITO
203;pizza;10;São Paulo;frita;01/04/2020;PIX
204;carne;12;Santa Catarina;frita;25/06/2019;DÉBITO
205;calabresa;9;Santa Catarina;assada;09/12/2018;CRÉDITO
206;carne;12;Minas Gerais;assada;19/11/2019;PIX
207;pizza;10;Rio de Janeiro;frita;10/01/2018;CRÉDITO
208;carne;12;Rio de Janeiro;assada;30/12/2020;DINHEIRO
209;pizza;10;Minas Gerais;frita;19/04/2019;CRÉDITO
210;calabresa;9;São Paulo;frita;02/10/2020;DINHEIRO
211;carne;12;Santa Catarina;assada;11/11/2019;DÉBITO
212;pizza;10;Santa Catarina;frita;21/03/2021;DÉBITO
213;frango;11;São Paulo;frita;14/02/2020;CRÉDITO
214;calabresa;9;Santa Catarina;assada;25/02/2020;CRÉDITO
215;pizza;10;Santa Catarina;assada;30/11/2021;PIX
216;frango;11;Santa Catarina;assada;19/12/2020;DÉBITO
217;frango;11;Rio de Janeiro;assada;12/01/2019;CRÉDITO
218;pizza;10;Minas Gerais;assada;23/09/2020;DÉBITO
219;pizza;10;São Paulo;frita;21/01/2021;PIX
220;carne;12;Rio de Janeiro;assada;03/08/2018;CRÉDITO
221;calabresa;9;Rio de Janeiro;frita;02/05/2019;DÉBITO
222;calabresa;9;Minas Gerais;frita;12/06/2021;CRÉDITO
223;calabresa;9;São Paulo;frita;19/08/2021;DÉBITO
224;carne;12;Rio de Janeiro;frita;14/11/2021;CRÉDITO
225;frango;11;São Paulo;assada;31/03/2019;DÉBITO
226;pizza;10;Rio de Janeiro;frita;25/07/2020;CRÉDITO
227;calabresa;9;Minas Gerais;assada;15/10/2018;PIX
228;carne;12;Santa Catarina;assada;04/08/2020;DÉBITO
229;pizza;10;São Paulo;frita;15/01/2018;DINHEIRO
230;calabresa;9;Rio de Janeiro;frita;21/07/2018;CRÉDITO
231;frango;11;Minas Gerais;assada;17/08/2020;DÉBITO
232;pizza;10;Rio de Janeiro;frita;26/06/2019;DINHEIRO
233;pizza;10;Minas Gerais;frita;10/05/2018;CRÉDITO
234;frango;11;Santa Catarina;assada;17/06/2019;CRÉDITO
235;carne;12;Santa Catarina;frita;24/12/2021;PIX
236;carne;12;Rio de Janeiro;assada;06/09/2019;CRÉDITO
237;frango;11;Minas Gerais;frita;26/08/2021;CRÉDITO
238;carne;12;Minas Gerais;assada;05/06/2021;CRÉDITO
239;pizza;10;São Paulo;frita;09/10/2019;DÉBITO
240;frango;11;Minas Gerais;assada;03/04/2021;CRÉDITO
241;calabresa;9;Rio de Janeiro;frita;10/04/2020;DINHEIRO
242;pizza;10;Rio de Janeiro;assada;29/05/2020;PIX
243;carne;12;Rio de Janeiro;assada;01/02/2019;DÉBITO
244;calabresa;9;São Paulo;assada;02/04/2021;CRÉDITO
245;calabresa;9;Minas Gerais;assada;22/08/2019;DINHEIRO
246;pizza;10;Rio de Janeiro;assada;19/02/2020;PIX
247;frango;11;Santa Catarina;frita;20/02/2020;CRÉDITO
248;calabresa;9;São Paulo;frita;09/05/2018;DINHEIRO
249;pizza;10;Rio de Janeiro;assada;25/05/2020;DÉBITO
250;carne;12;Minas Gerais;assada;21/06/2018;CRÉDITO
251;carne;12;São Paulo;assada;12/03/2021;DÉBITO
252;calabresa;9;Santa Catarina;assada;19/07/2018;PIX
253;pizza;10;São Paulo;frita;23/09/2020;PIX
254;carne;12;Santa Catarina;frita;19/10/2019;PIX
255;pizza;10;Minas Gerais;frita;20/02/2019;DÉBITO
256;calabresa;9;São Paulo;frita;06/01/2020;DINHEIRO
257;pizza;10;Santa Catarina;assada;01/09/2019;CRÉDITO
258;pizza;10;Minas Gerais;assada;28/05/2019;DÉBITO
259;carne;12;Santa Catarina;assada;13/05/2018;DINHEIRO
260;carne;12;Rio de Janeiro;frita;02/05/2019;PIX
261;carne;12;Santa Catarina;assada;10/12/2021;CRÉDITO
262;carne;12;Santa Catarina;frita;15/06/2021;DÉBITO
263;carne;12;São Paulo;frita;27/04/2018;CRÉDITO
264;carne;12;São Paulo;assada;08/06/2021;DINHEIRO
265;pizza;10;Rio de Janeiro;assada;12/09/2021;PIX
266;frango;11;Minas Gerais;frita;27/12/2019;DÉBITO
267;frango;11;Santa Catarina;frita;30/09/2018;DINHEIRO
268;pizza;10;Rio de Janeiro;assada;01/09/2019;PIX
269;calabresa;9;Rio de Janeiro;assada;21/04/2019;DÉBITO
270;calabresa;9;São Paulo;frita;23/07/2019;CRÉDITO
271;frango;11;Minas Gerais;assada;21/03/2018;PIX
272;pizza;10;São Paulo;assada;22/12/2020;DÉBITO
273;calabresa;9;Santa Catarina;frita;24/07/2018;DINHEIRO
274;pizza;10;Minas Gerais;assada;17/12/2021;DÉBITO
275;pizza;10;Minas Gerais;frita;18/04/2019;PIX
276;frango;11;Santa Catarina;assada;23/06/2020;CRÉDITO
277;frango;11;Minas Gerais;frita;28/05/2019;DÉBITO
278;calabresa;9;São Paulo;assada;10/03/2018;CRÉDITO
279;frango;11;Rio de Janeiro;assada;02/12/2021;DÉBITO
280;pizza;10;São Paulo;assada;30/07/2020;PIX
281;pizza;10;Minas Gerais;frita;15/09/2020;CRÉDITO
282;pizza;10;São Paulo;frita;01/02/2021;DINHEIRO
283;frango;11;São Paulo;assada;01/02/2019;PIX
284;frango;11;Santa Catarina;frita;26/02/2021;CRÉDITO
285;frango;11;Minas Gerais;assada;12/09/2021;DINHEIRO
286;pizza;10;Minas Gerais;assada;22/04/2021;PIX
287;frango;11;São Paulo;assada;26/06/2018;CRÉDITO
288;carne;12;Minas Gerais;assada;21/08/2018;CRÉDITO
289;pizza;10;Minas Gerais;frita;16/01/2019;DINHEIRO
290;frango;11;Santa Catarina;assada;15/07/2018;DÉBITO
291;frango;11;São Paulo;assada;25/06/2019;CRÉDITO
292;calabresa;9;Santa Catarina;frita;17/08/2018;CRÉDITO
293;pizza;10;Santa Catarina;assada;07/08/2020;PIX
294;frango;11;Santa Catarina;assada;04/06/2021;DÉBITO
295;frango;11;Santa Catarina;frita;20/11/2021;CRÉDITO
296;carne;12;Minas Gerais;frita;01/04/2020;PIX
297;carne;12;São Paulo;assada;09/07/2019;CRÉDITO
298;pizza;10;Santa Catarina;assada;08/05/2020;PIX
299;calabresa;9;São Paulo;frita;13/10/2018;PIX
300;calabresa;9;Minas Gerais;assada;24/06/2019;DINHEIRO
301;carne;12;Rio de Janeiro;assada;30/08/2018;DÉBITO
302;pizza;10;São Paulo;assada;11/05/2021;CRÉDITO
303;pizza;10;Rio de Janeiro;assada;05/09/2021;DÉBITO
304;carne;12;São Paulo;assada;20/06/2021;DINHEIRO
305;calabresa;9;São Paulo;frita;13/05/2021;PIX
306;pizza;10;Rio de Janeiro;frita;24/02/2019;CRÉDITO
307;carne;12;Santa Catarina;assada;16/09/2020;DÉBITO
308;calabresa;9;Rio de Janeiro;assada;16/09/2021;CRÉDITO
309;calabresa;9;São Paulo;assada;12/04/2020;CRÉDITO
310;calabresa;9;Minas Gerais;assada;13/05/2021;DINHEIRO
311;pizza;10;Rio de Janeiro;assada;26/06/2019;PIX
312;carne;12;Rio de Janeiro;assada;28/02/2018;CRÉDITO
313;calabresa;9;Minas Gerais;frita;18/01/2020;CRÉDITO
314;frango;11;Minas Gerais;frita;16/05/2020;DINHEIRO
315;calabresa;9;Minas Gerais;frita;09/11/2021;PIX
316;carne;12;Minas Gerais;assada;19/11/2018;CRÉDITO
317;pizza;10;Rio de Janeiro;frita;11/08/2018;DÉBITO
318;frango;11;Santa Catarina;frita;17/07/2018;CRÉDITO
319;calabresa;9;Santa Catarina;assada;03/06/2019;DÉBITO
320;carne;12;Santa Catarina;frita;29/02/2020;PIX
321;pizza;10;Rio de Janeiro;frita;02/05/2019;CRÉDITO
322;frango;11;São Paulo;frita;08/05/2020;DÉBITO
323;carne;12;Minas Gerais;assada;11/04/2019;PIX
324;calabresa;9;Santa Catarina;frita;21/04/2019;DÉBITO
325;frango;11;São Paulo;assada;01/11/2018;DÉBITO
326;carne;12;Santa Catarina;assada;12/11/2018;CRÉDITO
327;pizza;10;Minas Gerais;assada;23/05/2021;DINHEIRO
328;calabresa;9;Minas Gerais;frita;28/08/2021;CRÉDITO
329;pizza;10;São Paulo;assada;24/09/2020;PIX
330;pizza;10;Rio de Janeiro;frita;14/01/2021;PIX
331;calabresa;9;Rio de Janeiro;assada;20/02/2019;PIX
332;carne;12;São Paulo;assada;08/07/2020;DÉBITO
333;frango;11;Rio de Janeiro;frita;22/03/2020;CRÉDITO
334;pizza;10;São Paulo;assada;06/10/2019;DÉBITO
335;carne;12;São Paulo;assada;02/04/2018;PIX
336;frango;11;Rio de Janeiro;assada;01/01/2019;DÉBITO
337;frango;11;Santa Catarina;frita;23/08/2021;DÉBITO
338;frango;11;Rio de Janeiro;frita;20/07/2018;DÉBITO
339;carne;12;São Paulo;assada;03/03/2019;PIX
340;carne;12;Minas Gerais;frita;10/02/2020;PIX
341;pizza;10;Minas Gerais;frita;28/10/2019;PIX
342;calabresa;9;Rio de Janeiro;assada;09/08/2018;DINHEIRO
343;pizza;10;Minas Gerais;assada;17/10/2019;DINHEIRO
344;frango;11;Rio de Janeiro;assada;21/10/2021;DÉBITO
345;pizza;10;São Paulo;frita;02/09/2021;DINHEIRO
346;carne;12;Rio de Janeiro;frita;02/12/2018;CRÉDITO
347;calabresa;9;Santa Catarina;assada;03/07/2021;PIX
348;carne;12;Minas Gerais;frita;22/03/2018;DINHEIRO
349;carne;12;Rio de Janeiro;frita;13/01/2019;CRÉDITO
350;carne;12;Minas Gerais;assada;20/07/2021;PIX
351;carne;12;São Paulo;assada;15/08/2019;CRÉDITO
352;frango;11;Minas Gerais;assada;04/10/2019;DINHEIRO
353;pizza;10;Minas Gerais;frita;28/06/2019;PIX
354;pizza;10;Minas Gerais;assada;06/04/2021;CRÉDITO
355;pizza;10;São Paulo;assada;07/05/2018;DÉBITO
356;pizza;10;Santa Catarina;assada;01/03/2018;PIX
357;carne;12;Santa Catarina;frita;31/03/2018;DINHEIRO
358;pizza;10;Santa Catarina;frita;06/03/2019;DINHEIRO
359;calabresa;9;Santa Catarina;assada;13/04/2021;DÉBITO
360;carne;12;São Paulo;frita;13/08/2018;DÉBITO
361;pizza;10;Minas Gerais;assada;24/07/2019;CRÉDITO
362;calabresa;9;Santa Catarina;frita;22/03/2021;DINHEIRO
363;pizza;10;Minas Gerais;frita;27/03/2021;PIX
364;pizza;10;São Paulo;frita;10/11/2018;CRÉDITO
365;frango;11;Minas Gerais;frita;08/03/2021;CRÉDITO
366;calabresa;9;Minas Gerais;frita;17/09/2021;DÉBITO
367;pizza;10;Rio de Janeiro;frita;19/07/2019;DINHEIRO
368;carne;12;São Paulo;frita;07/07/2021;DINHEIRO
369;calabresa;9;Rio de Janeiro;assada;27/12/2019;DÉBITO
370;frango;11;Rio de Janeiro;assada;31/07/2021;CRÉDITO
371;frango;11;São Paulo;assada;10/12/2021;CRÉDITO
372;calabresa;9;Minas Gerais;assada;20/12/2018;DÉBITO
373;carne;12;Minas Gerais;assada;08/08/2018;DÉBITO
374;calabresa;9;São Paulo;frita;31/03/2021;CRÉDITO
375;carne;12;Santa Catarina;frita;01/01/2020;CRÉDITO
376;carne;12;Santa Catarina;frita;25/03/2019;DINHEIRO
377;frango;11;São Paulo;frita;04/03/2021;DINHEIRO
378;calabresa;9;Rio de Janeiro;assada;04/08/2018;PIX
379;frango;11;Minas Gerais;frita;20/05/2019;CRÉDITO
380;calabresa;9;Santa Catarina;assada;19/12/2019;PIX
381;calabresa;9;Minas Gerais;assada;22/07/2020;CRÉDITO
382;calabresa;9;Santa Catarina;assada;08/08/2019;CRÉDITO
383;carne;12;Rio de Janeiro;frita;28/07/2021;DÉBITO
384;pizza;10;São Paulo;assada;05/06/2018;CRÉDITO
385;pizza;10;Minas Gerais;assada;17/08/2020;PIX
386;calabresa;9;São Paulo;assada;03/07/2018;PIX
387;calabresa;9;Rio de Janeiro;frita;04/04/2019;PIX
388;calabresa;9;Minas Gerais;assada;30/09/2021;DINHEIRO
389;pizza;10;Santa Catarina;frita;21/06/2020;DÉBITO
390;pizza;10;Rio de Janeiro;assada;18/04/2020;CRÉDITO
391;pizza;10;Minas Gerais;frita;27/09/2018;DINHEIRO
392;frango;11;São Paulo;assada;02/01/2018;DINHEIRO
393;carne;12;São Paulo;assada;01/01/2021;DINHEIRO
394;frango;11;Minas Gerais;assada;03/11/2021;CRÉDITO
395;carne;12;Rio de Janeiro;assada;06/12/2018;DÉBITO
396;frango;11;São Paulo;assada;27/02/2021;PIX
397;calabresa;9;Rio de Janeiro;assada;02/03/2019;DÉBITO
398;calabresa;9;Santa Catarina;assada;20/05/2020;DÉBITO
399;frango;11;Minas Gerais;assada;02/10/2020;CRÉDITO
400;calabresa;9;Minas Gerais;frita;13/11/2019;DINHEIRO
401;pizza;10;São Paulo;assada;06/06/2020;CRÉDITO
402;frango;11;Minas Gerais;frita;07/06/2018;PIX
403;carne;12;São Paulo;assada;11/06/2019;CRÉDITO
404;frango;11;Minas Gerais;frita;23/05/2018;PIX
405;calabresa;9;Santa Catarina;frita;01/08/2020;DÉBITO
406;frango;11;São Paulo;assada;21/06/2019;CRÉDITO
407;frango;11;Minas Gerais;assada;07/05/2019;CRÉDITO
408;frango;11;São Paulo;frita;06/07/2020;DINHEIRO
409;carne;12;São Paulo;assada;08/01/2021;PIX
410;pizza;10;Santa Catarina;frita;03/01/2020;DINHEIRO
411;pizza;10;Rio de Janeiro;frita;10/08/2019;DINHEIRO
412;calabresa;9;Minas Gerais;frita;03/12/2018;PIX
413;pizza;10;Minas Gerais;frita;09/08/2018;DÉBITO
414;pizza;10;Minas Gerais;frita;13/05/2020;CRÉDITO
415;calabresa;9;Santa Catarina;assada;19/08/2019;CRÉDITO
416;carne;12;São Paulo;assada;09/12/2019;DÉBITO
417;carne;12;Santa Catarina;assada;30/10/2019;PIX
418;pizza;10;Minas Gerais;frita;19/03/2021;PIX
419;calabresa;9;Santa Catarina;assada;31/08/2021;CRÉDITO
420;carne;12;Santa Catarina;assada;11/10/2021;PIX
421;carne;12;Rio de Janeiro;frita;16/03/2018;DINHEIRO
422;pizza;10;Rio de Janeiro;assada;28/07/2019;PIX
423;carne;12;Santa Catarina;frita;07/01/2018;CRÉDITO
424;pizza;10;Santa Catarina;assada;27/07/2018;DINHEIRO
425;pizza;10;Rio de Janeiro;assada;09/07/2020;DÉBITO
426;calabresa;9;Santa Catarina;frita;23/02/2019;CRÉDITO
427;calabresa;9;Rio de Janeiro;frita;05/04/2018;DINHEIRO
